date,priceArea,productionGroup,quantityKwh_sum,quantityKwh_mean
2025-11-05,NO5,SOLAR,3342.9919999999997,139.2913333333333
2025-11-05,NO5,THERMAL,369046.847,15376.951958333333
2025-11-05,NO5,WIND,0.27999999999999997,0.011666666666666665
2025-11-06,NO1,HYDRO,59477001.6,2478208.4
2025-11-06,NO1,OTHER,662.302,27.595916666666668
2025-11-06,NO1,SOLAR,21697.362,904.0567500000001
2025-11-06,NO1,THERMAL,311523.927,12980.163625000001
2025-11-06,NO1,WIND,1052249.905,43843.746041666665
2025-11-06,NO2,HYDRO,149594490.5,6233103.770833333
2025-11-06,NO2,OTHER,1796.19,74.84125
2025-11-06,NO2,SOLAR,8816.014,367.33391666666665
2025-11-06,NO2,THERMAL,363299.785,15137.491041666666
2025-11-06,NO2,WIND,12027706.38,501154.43250000005
2025-11-06,NO3,HYDRO,60088113.3,2503671.3874999997
2025-11-06,NO3,OTHER,585.336,24.389
2025-11-06,NO3,SOLAR,2421.085,100.87854166666666
2025-11-06,NO3,THERMAL,489207.06,20383.6275
2025-11-06,NO3,WIND,6026453.955,251102.248125
2025-11-06,NO4,HYDRO,85076081.3,3544836.720833333
2025-11-06,NO4,OTHER,427.58,17.815833333333334
2025-11-06,NO4,SOLAR,31.537,1.3140416666666666
2025-11-06,NO4,THERMAL,4981620.0,207567.5
2025-11-06,NO4,WIND,8184501.91,341020.91291666665
2025-11-06,NO5,*,0.008,0.0003333333333333333
2025-11-06,NO5,HYDRO,93894266.7,3912261.1125000003
2025-11-06,NO5,OTHER,534.533,22.272208333333335
2025-11-06,NO5,SOLAR,1750.442,72.93508333333334
2025-11-06,NO5,THERMAL,549082.429,22878.434541666666
2025-11-06,NO5,WIND,0.20800000000000002,0.008666666666666668
2025-11-07,NO1,HYDRO,59259452.2,2469143.841666667
2025-11-07,NO1,OTHER,666.904,27.787666666666667
2025-11-07,NO1,SOLAR,28806.499,1200.2707916666666
2025-11-07,NO1,THERMAL,335568.132,13982.0055
2025-11-07,NO1,WIND,738433.595,30768.06645833333
2025-11-07,NO2,HYDRO,156158402.5,6506600.104166667
2025-11-07,NO2,OTHER,2193.417,91.392375
2025-11-07,NO2,SOLAR,45573.001,1898.8750416666664
2025-11-07,NO2,THERMAL,379599.33,15816.63875
2025-11-07,NO2,WIND,10167526.694,423646.9455833333
2025-11-07,NO3,HYDRO,72763254.5,3031802.2708333335
2025-11-07,NO3,OTHER,481.043,20.043458333333334
2025-11-07,NO3,SOLAR,1301.354,54.223083333333335
2025-11-07,NO3,THERMAL,523508.68,21812.861666666668
2025-11-07,NO3,WIND,7782937.54,324289.06416666665
2025-11-07,NO4,HYDRO,81391662.0,3391319.25
2025-11-07,NO4,OTHER,426.96,17.79
2025-11-07,NO4,SOLAR,47.265,1.969375
2025-11-07,NO4,THERMAL,5641763.0,235073.45833333334
2025-11-07,NO4,WIND,6323087.01,263461.95875
2025-11-07,NO5,*,0.167,0.006958333333333334
2025-11-07,NO5,HYDRO,96002126.5,4000088.6041666665
2025-11-07,NO5,OTHER,31.156,1.2981666666666667
2025-11-07,NO5,SOLAR,4444.237,185.17654166666668
